datetime,Upper Band,Lower Band,close,open,high,low,volume
2024-03-04 10:00:00,,,130745.0,130680.0,130770.0,130570.0,14346001.0
2024-03-04 10:05:00,,,130775.0,130720.0,130800.0,130710.0,13244558.5
2024-03-04 10:10:00,,,130725.0,130680.0,130815.0,130670.0,13545373.5
2024-03-04 10:15:00,,,130650.0,130680.0,130800.0,130630.0,14036767.5
2024-03-04 10:20:00,,,130455.0,130680.0,130690.0,130420.0,14518632.0
2024-03-04 10:25:00,,,130520.0,130570.0,130570.0,130410.0,14535437.5
2024-03-04 10:30:00,130745.88067290685,130555.54789852173,130685.0,130680.0,130700.0,130500.0,14195924.5
2024-03-04 10:35:00,130748.38858205562,130555.8971322301,130755.0,130680.0,130755.0,130645.0,14115298.5
2024-03-04 10:40:00,130725.90795923554,130551.23489790733,130680.0,130680.0,130825.0,130625.0,14251991.5
2024-03-04 10:45:00,130711.03220256987,130546.110654573,130655.0,130680.0,130715.0,130585.0,14608048.5
2024-03-04 10:50:00,130715.61861282047,130548.66710146524,130675.0,130680.0,130705.0,130575.0,13574271.5
2024-03-04 10:55:00,130711.79140280934,130593.92288290495,130600.0,130680.0,130715.0,130575.0,13978390.0
2024-03-04 11:00:00,130707.17622520178,130618.53806051251,130590.0,130630.0,130630.0,130525.0,13606737.5
2024-03-04 11:05:00,130715.51554000752,130518.7701742782,130365.0,130620.0,130620.0,130325.0,14180838.0
2024-03-04 11:10:00,130671.5255026674,130449.90306876118,130360.0,130500.0,130500.0,130345.0,14124256.0
2024-03-04 11:15:00,130631.2029524575,130403.0827618282,130375.0,130405.0,130405.0,130340.0,14106436.0
2024-03-04 11:20:00,130587.51029579357,130319.6325613493,130210.0,130385.0,130385.0,130150.0,14339835.5
2024-03-04 11:25:00,130514.95148551356,130235.04851448644,130125.0,130245.0,130245.0,130110.0,14045686.5
2024-03-04 11:30:00,130441.74937638929,130143.964909325,130025.0,130165.0,130165.0,129985.0,14596761.0
2024-03-04 11:35:00,130338.05762872616,130076.22808555955,129990.0,130040.0,130040.0,129950.0,14703357.5
2024-03-04 11:40:00,130285.43023459503,130005.99833683355,129935.0,130000.0,130005.0,129890.0,16217758.0
2024-03-04 11:45:00,130213.9653319435,129954.60609662792,129930.0,129955.0,129970.0,129880.0,14993712.0
2024-03-04 11:50:00,130106.6297460966,129921.94168247482,129885.0,129960.0,129965.0,129865.0,14252408.0
2024-03-04 11:55:00,130044.90964868983,129920.80463702446,129990.0,130015.0,130015.0,129885.0,14164711.5
2024-03-04 12:00:00,129997.19288159709,129922.80711840291,129965.0,129975.0,129985.0,129900.0,14228589.5
2024-03-04 12:05:00,129977.5854428601,129889.55741428277,129840.0,129965.0,129970.0,129815.0,14833610.5
2024-03-04 12:10:00,129961.62338019967,129846.94804837175,129785.0,129850.0,129860.0,129765.0,16097672.0
2024-03-04 12:15:00,129949.7627471595,129831.66582426908,129840.0,129855.0,129855.0,129780.0,13800683.5
2024-03-04 12:20:00,129936.43168825185,129817.85402603386,129835.0,129850.0,129850.0,129800.0,14034259.0
2024-03-04 12:25:00,129927.96516498551,129796.3205493002,129780.0,129820.0,129840.0,129740.0,14887571.0
2024-03-04 12:30:00,129886.56942485592,129789.14486085837,129820.0,129850.0,129850.0,129755.0,13694779.5
2024-03-04 12:35:00,129841.10412385307,129798.89587614693,129840.0,129875.0,129875.0,129795.0,14619087.0
2024-03-04 12:40:00,129841.10412385307,129798.89587614693,129840.0,129865.0,129870.0,129810.0,14166042.0
2024-03-04 12:45:00,129852.24700868566,129810.61013417147,129865.0,129870.0,129875.0,129790.0,13672988.5
2024-03-04 12:50:00,129862.61810351777,129811.66761076794,129880.0,129910.0,129915.0,129855.0,13988694.0
2024-03-04 12:55:00,129868.1934213791,129814.66372147803,129865.0,129895.0,129905.0,129830.0,14804618.5
2024-03-04 13:00:00,129893.21584412504,129833.92701301783,129935.0,129950.0,129950.0,129845.0,14237550.5
2024-03-04 13:05:00,129941.56451466739,129841.29262818974,130015.0,130015.0,130020.0,129925.0,15634999.0
2024-03-04 13:10:00,129991.65767371163,129855.48518343124,130065.0,130070.0,130070.0,129995.0,16020337.0
2024-03-04 13:15:00,130032.7293713097,129882.98491440459,130080.0,130085.0,130085.0,130020.0,16009965.5
2024-03-04 13:20:00,130067.40401781963,129914.02455360895,130095.0,130125.0,130125.0,130060.0,17040517.0
2024-03-04 13:25:00,130103.33316794448,129950.95254634123,130135.0,130140.0,130145.0,130090.0,14820246.5
2024-03-04 13:30:00,130124.86436149389,130009.42135279182,130145.0,130205.0,130205.0,130130.0,16375677.0
2024-03-04 13:35:00,130165.74234190615,130054.25765809385,130235.0,130250.0,130250.0,130130.0,15975919.0
2024-03-04 13:40:00,130192.20362609808,130086.36780247334,130220.0,130270.0,130270.0,130215.0,16331702.0
2024-03-04 13:45:00,130223.53272776231,130110.7529865234,130260.0,130280.0,130280.0,130195.0,15524488.0
2024-03-04 13:50:00,130235.96258719263,130138.32312709308,130220.0,130285.0,130285.0,130205.0,15642745.5
2024-03-04 13:55:00,130236.57909020748,130161.99233836394,130180.0,130245.0,130245.0,130165.0,16159499.0
2024-03-04 14:00:00,130236.78674665838,130160.35611048448,130130.0,130195.0,130200.0,130090.0,15277774.5
2024-03-04 14:05:00,130238.72001281784,130171.27998718216,130190.0,130220.0,130220.0,130135.0,15714290.0
2024-03-04 14:10:00,130232.04689074753,130167.95310925247,130200.0,130215.0,130215.0,130175.0,15128509.0
2024-03-04 14:15:00,130224.2595672825,130155.7404327175,130150.0,130205.0,130205.0,130110.0,15566647.0
2024-03-04 14:20:00,130199.4370478695,130143.42009498762,130130.0,130180.0,130180.0,130105.0,15786284.0
2024-03-04 14:25:00,130185.3108582805,130116.11771314808,130075.0,130135.0,130140.0,130045.0,14869361.0
2024-03-04 14:30:00,130176.85596381154,130083.14403618846,130035.0,130085.0,130085.0,130000.0,15551389.5
2024-03-04 14:35:00,130171.25698704191,130061.60015581522,130035.0,130055.0,130055.0,129995.0,13964503.5
2024-03-04 14:40:00,130148.1923602534,130020.37906831803,129965.0,130045.0,130050.0,129965.0,15185338.5
2024-03-04 14:45:00,130108.73215328403,129989.83927528739,129955.0,129990.0,129990.0,129935.0,15452437.0
2024-03-04 14:50:00,130076.73050834792,129978.98377736637,130000.0,129995.0,130000.0,129930.0,14894472.5
2024-03-04 14:55:00,130041.3914980758,129972.89421620991,129985.0,130045.0,130045.0,129965.0,14560294.5
2024-03-04 15:00:00,130019.19642448562,129969.3750040858,129985.0,130030.0,130035.0,129970.0,13923623.0
2024-03-04 15:05:00,130005.51429486915,129957.34284798798,129945.0,130005.0,130015.0,129945.0,14986911.5
2024-03-04 15:10:00,129987.22534945382,129941.3460791176,129915.0,129950.0,129965.0,129900.0,14514350.5
2024-03-04 15:15:00,129986.64701007595,129916.21013278118,129875.0,129910.0,129920.0,129865.0,14717025.0
2024-03-04 15:20:00,129983.60299088625,129912.11129482804,129930.0,129960.0,129965.0,129870.0,15875820.0
2024-03-04 15:25:00,129982.14810715674,129912.13760712897,129995.0,130005.0,130005.0,129920.0,14790486.5
2024-03-04 15:30:00,129993.92380828122,129911.79047743307,130025.0,130040.0,130040.0,129960.0,15808116.5
2024-03-04 15:35:00,130001.5210147443,129912.76469954141,130015.0,130055.0,130055.0,129995.0,14808767.5
2024-03-04 15:40:00,130014.38067553057,129919.90503875514,130015.0,130055.0,130055.0,129990.0,14822444.5
2024-03-04 15:45:00,130022.52587819306,129934.61697894981,129995.0,130020.0,130020.0,129960.0,14793237.5
2024-03-04 15:50:00,130022.20336250046,129972.08235178526,130005.0,130020.0,130020.0,129970.0,14611364.5
2024-03-04 15:55:00,130016.06286080295,129996.79428205418,129995.0,130020.0,130020.0,129950.0,14792866.0
2024-03-04 16:00:00,130016.06039026445,129995.36818116413,129990.0,130010.0,130010.0,129975.0,14754030.5
2024-03-04 16:05:00,130014.55586540984,129971.15842030445,129935.0,129985.0,129990.0,129925.0,14023299.0
2024-03-04 16:10:00,130007.64641760607,129953.78215382251,129930.0,129960.0,129960.0,129900.0,14045909.0
2024-03-04 16:15:00,129996.20321286791,129940.93964427496,129930.0,129955.0,129955.0,129875.0,14797151.0
2024-03-04 16:20:00,129988.09535564826,129934.76178720887,129945.0,129950.0,129950.0,129910.0,14839002.5
2024-03-04 16:25:00,129973.67845682813,129919.178686029,129900.0,129930.0,129940.0,129845.0,15913532.5
2024-03-04 16:30:00,129957.10699765862,129910.03585948425,129905.0,129920.0,129920.0,129865.0,14184134.0
2024-03-04 16:35:00,129973.50155523566,129905.06987333576,130030.0,130045.0,130045.0,129900.0,15880176.0
2024-03-04 16:40:00,129984.46632859782,129909.8193856879,129990.0,130035.0,130035.0,129955.0,14948868.5
2024-03-04 16:45:00,129986.83899265874,129913.16100734126,129950.0,129985.0,129995.0,129935.0,14736948.5
2024-03-04 16:50:00,130000.05879303077,129921.36977839781,130005.0,130005.0,130005.0,129940.0,16310519.0
2024-03-04 16:55:00,130001.8288892401,129923.88539647419,129960.0,130025.0,130025.0,129945.0,15729536.0
2024-03-04 17:00:00,130008.28248667883,129943.14608474975,129990.0,130030.0,130030.0,129950.0,15326922.0
2024-03-04 17:05:00,130009.88730479014,129967.25555235273,129995.0,130005.0,130005.0,129960.0,13856711.0
2024-03-04 17:10:00,129995.70144028233,129962.8699882891,129965.0,130000.0,130000.0,129955.0,16702054.0
2024-03-04 17:15:00,129992.78945703106,129945.78197154036,129920.0,129970.0,129975.0,129900.0,16553339.0
2024-03-04 17:20:00,129993.433372502,129930.85234178371,129900.0,129940.0,129940.0,129880.0,15589104.0
2024-03-04 17:25:00,129984.9770747998,129929.30863948591,129970.0,129990.0,129990.0,129895.0,15175880.5
2024-03-04 17:30:00,129981.12169084614,129917.44973772528,129905.0,129985.0,129985.0,129900.0,15399231.0
2024-03-04 17:35:00,129967.95264051938,129907.76164519491,129910.0,129930.0,129930.0,129845.0,17287611.5
2024-03-04 17:40:00,129949.28648337576,129903.57065948137,129915.0,129945.0,129945.0,129890.0,15538405.0
2024-03-04 17:45:00,129937.94158244372,129882.05841755628,129850.0,129920.0,129920.0,129820.0,14948164.0
2024-03-04 17:50:00,129933.97551534303,129877.45305608555,129890.0,129895.0,129895.0,129835.0,15195091.0
2024-03-04 17:55:00,129932.91535538096,129875.65607319046,129890.0,129905.0,129905.0,129855.0,13104369.5
2024-03-05 10:00:00,129908.35906430613,129870.21236426529,129865.0,129845.0,129960.0,129820.0,14210383.0
2024-03-05 10:05:00,129906.29187240335,129869.42241331094,129895.0,129840.0,129975.0,129840.0,13717289.5
2024-03-05 10:10:00,129914.05608817312,129868.80105468401,129935.0,129815.0,129970.0,129805.0,14054407.0
2024-03-05 10:15:00,129911.18943433245,129831.66770852468,129775.0,129740.0,130070.0,129725.0,15223874.5
2024-03-05 10:20:00,129923.9680738953,129840.3176403904,129925.0,129750.0,129950.0,129735.0,14191722.0
2024-03-05 10:25:00,129917.68643097783,129826.59928330788,129820.0,129825.0,129945.0,129815.0,14261393.5
2024-03-05 10:30:00,129937.8716792484,129829.27117789446,129970.0,129800.0,130010.0,129795.0,14240328.0
2024-03-05 10:35:00,129934.05940780332,129811.65487791097,129790.0,129790.0,129980.0,129775.0,15118706.5
2024-03-05 10:40:00,129922.94337744536,129775.62805112606,129730.0,129700.0,129800.0,129670.0,14830313.5
2024-03-05 10:45:00,129894.38425274177,129734.18717582965,129690.0,129700.0,129795.0,129685.0,14284012.5
2024-03-05 10:50:00,129899.62653204378,129741.8020393848,129820.0,129695.0,129855.0,129695.0,15324818.5
2024-03-05 10:55:00,129880.37315811621,129738.1982704552,129845.0,129770.0,129860.0,129770.0,14539640.0
2024-03-05 11:00:00,129907.76974070101,129745.08740215612,129940.0,129860.0,129990.0,129840.0,15381362.5
